ID,Naslov,Izvođač,Žanr,BPM,Godina,Popularnost,Raspoloženje
1,Blinding Lights,The Weeknd,Synthwave,171,2020,4.5,Energetic
2,Bohemian Rhapsody,Queen,Rock,72,1975,4.9,Dramatic
3,Bad Guy,Billie Eilish,Electropop,135,2019,4.3,Dark
4,Shape of You,Ed Sheeran,Pop,96,2017,4.2,Happy
5,Hotel California,Eagles,Rock,74,1976,4.8,Melancholic
6,Levitating,Dua Lipa,Disco-Pop,103,2020,4.4,Cheerful
7,Thunderstruck,AC/DC,Hard Rock,134,1990,4.7,Powerful
8,Stay,The Kid LAROI & Justin Bieber,Pop,170,2021,4.1,Energetic
9,Smells Like Teen Spirit,Nirvana,Grunge,117,1991,4.9,Aggressive
10,In the End,Linkin Park,Nu Metal,105,2000,4.8,Emotional
11,Superstition,Stevie Wonder,Funk,101,1972,4.7,Groovy
12,Don't Stop Believin',Journey,Rock,119,1981,4.6,Inspirational
13,Rolling in the Deep,Adele,Soul,105,2011,4.7,Passionate
14,Take Five,Dave Brubeck,Jazz,174,1959,4.9,Relaxed
15,One More Time,Daft Punk,House,123,2000,4.6,Festive
16,Lose Yourself,Eminem,Hip Hop,171,2002,4.9,Determined
17,Dreams,Fleetwood Mac,Soft Rock,120,1977,4.8,Dreamy
18,Master of Puppets,Metallica,Thrash Metal,212,1986,4.9,Intense
19,Uptown Funk,Mark Ronson ft. Bruno Mars,Funk,115,2014,4.5,Funky
20,Billie Jean,Michael Jackson,Pop,117,1982,4.9,Danceable
21,Mr. Brightside,The Killers,Indie Rock,148,2004,4.7,Anthemic
22,Starboy,The Weeknd,R&B,186,2016,4.4,Moody
23,Another One Bites the Dust,Queen,Funk Rock,110,1980,4.7,Confident
24,Flowers,Miley Cyrus,Pop,118,2023,4.3,Empowering
25,Highway to Hell,AC/DC,Hard Rock,116,1979,4.8,Wild
26,Sweet Child O' Mine,Guns N' Roses,Hard Rock,125,1987,4.9,Romantic
27,Humble,Kendrick Lamar,Hip Hop,150,2017,4.6,Serious
28,Seven Nation Army,The White Stripes,Garage Rock,124,2003,4.7,Gritty
29,Wake Me Up,Avicii,EDM,124,2013,4.5,Uplifting
30,Watermelon Sugar,Harry Styles,Pop,95,2019,4.2,Summer Vibes
